member,generation,order
井口眞緒,1,1
柿崎芽実,1,2
影山優佳,1,3
加藤史帆,1,4
齊藤京子,1,5
佐々木久美,1,6
佐々木美玲,1,7
高瀬愛奈,1,8
高本彩花,1,9
東村芽依,1,10

金村美玖,2,1
河田陽菜,2,2
小坂菜緒,2,3
富田鈴花,2,4
丹生明里,2,5
濱岸ひより,2,6
松田好花,2,7
宮田愛萌,2,8
渡邉美穂,2,9

上村ひなの,3,1
髙橋未来虹,3,2
森本茉莉,3,3
山口陽世,3,4

石塚瑶季,4,1
岸帆夏,4,2
小西夏菜実,4,3
清水理央,4,4
正源司陽子,4,5
竹内希来里,4,6
平尾帆夏,4,7
平岡海月,4,8
藤嶌果歩,4,9
宮地すみれ,4,10
山下葉留花,4,11
渡辺莉奈,4,12

大田美月,5,1
大野愛実,5,2
片山紗希,5,3
蔵盛妃那乃,5,4
坂井新奈,5,5
佐藤優羽,5,6
下田衣珠季,5,7
高井俐香,5,8
鶴崎仁香,5,9
松尾桜,5,10
