メモ,コンプ,シリーズ,チュウ,ヒキ,メンバー名前,ヨリ,不足,座り,数式,期,直筆
,No,9th制服,,,森本茉莉,,No,1,1,3,
,No,「見たことない魔物」MV制服,1,,正源司陽子,,No,,1,4,
,No,「キュン」MV衣装,,,渡辺莉奈,,No,1,1,4,
,No,9th制服,,,正源司陽子,1,No,,1,4,
,No,２０２２年バレンタインコーディネート衣装,,,上村ひなの,,No,1,1,3,
,No,オーディション制服,,1,山下葉留花,,No,,1,4,
,No,「キュン」ミュージックビデオ衣装,2,2,丹生明里,,No,,4,2,
,No,「キュン」ジャケット写真衣装,1,2,丹生明里,,No,3,6,2,
,Yes,2019 浴衣,3,3,丹生明里,3,No,3,12,2,
,No,青春の馬MVカラフル衣装,1,2,丹生明里,,No,3,6,2,
,No,3rd 制服衣装,2,2,丹生明里,,No,2,6,2,
,No,春私服コーディネート衣装,2,3,丹生明里,,No,3,8,2,
,Yes,ドレミソラシド歌番組衣装,3,3,丹生明里,1,No,1,8,2,
,Yes,キツネ衣装,5,4,丹生明里,2,No,4,15,2,
,Yes,ひらがなくりすます2018衣装,2,2,丹生明里,3,No,3,10,2,
,Yes,紅白衣装,2,2,丹生明里,2,No,2,8,2,
,No,「ひなくり2020」ダッフル衣装,,2,丹生明里,1,No,2,5,2,
,No,大正浪漫衣装,2,2,丹生明里,,No,2,6,2,
,No,2022年 夏制服衣装,1,1,丹生明里,,No,1,3,2,
,No,おばけホテル衣装,2,2,丹生明里,,No,2,6,2,
,Yes,トナカイ柄白サンタ衣装,1,3,丹生明里,2,No,3,9,2,
,No,「全国おひさま化計画2021」衣装,,2,丹生明里,1,No,1,4,2,
,Yes,「4回目のひな誕祭」オープニング青衣装,2,2,丹生明里,1,No,1,6,2,
,No,「君しか勝たん」MVロケーション衣装,1,,丹生明里,,No,,1,2,
,No,6thシングル カップリングユニット衣装,,,丹生明里,,No,1,1,2,
,No,12th制服,,2,丹生明里,,No,2,4,2,
,No,猫耳衣装,2,2,丹生明里,2,No,,6,2,
,No,ひなくり2019赤サンタ衣装,,,丹生明里,,No,1,1,2,
,No,アザトカワイイ制服衣装,,1,丹生明里,,No,,1,2,
,No,4th Mst衣装,,1,丹生明里,1,No,,2,2,
,No,アザトカワイイMV衣装,1,,丹生明里,,No,1,2,2,
,No,秋冬制服衣装,,1,丹生明里,,No,1,2,2,
,No,探検隊衣装,,1,丹生明里,,No,2,3,2,
,No,「3回目のひな誕祭」オープニング衣装,2,1,丹生明里,,No,,3,2,
,No,ユニット衣装,,2,丹生明里,,No,2,4,2,
,No,君に話しておきたいこと衣装,,,丹生明里,1,No,,1,2,
,No,「4回目のひな誕祭」黄色衣装,1,1,丹生明里,,No,,2,2,
,No,「恋は逃げ足が早い」MV衣装,1,,丹生明里,1,No,1,3,2,
,No,「W-KEYAKI FES.2021」ライブパフォーマンス衣装,,,丹生明里,,No,1,1,2,
,No,紅白2021オープニング衣装,,,丹生明里,,No,1,1,2,
,No,2024 夏フェス衣装,1,,丹生明里,,No,1,2,2,
,No,2022年 振袖衣装,,2,丹生明里,,No,1,3,2,
,No,「3回目のひな誕祭」ライブ衣装,1,2,丹生明里,,No,2,5,2,
,No,2022年 ハロウィン衣装,,2,丹生明里,1,No,,3,2,
,No,「Happy Train Tour 2023」ライブ衣装,,,丹生明里,1,No,3,4,2,
,No,「HINATAZAKA46 Live OnlineYES!with YOU!」黒衣装,1,2,丹生明里,,No,2,5,2,
,No,「W-KEYAKI FES.2021」ライブオープニング衣装,2,2,丹生明里,1,No,,5,2,
,No,2022年春 私服コーディネート衣装,1,2,丹生明里,,No,,3,2,
,No,「Am I ready?」MV衣装,1,1,東村芽依,,No,1,3,1,
,No,「10秒天使」MV衣装,,1,東村芽依,,Yes,1,2,1,
,No,「One choice」MV衣装,1,,東村芽依,,No,,1,1,
,Yes,2022年 浴衣衣装,3,4,東村芽依,6,No,3,16,1,
,No,2022年 夏制服衣装,1,,東村芽依,,No,,1,1,
,Yes,JOIFUL LOVE MV衣装,2,2,東村芽依,2,No,2,8,1,
,Yes,ユニット衣装,1,1,東村芽依,1,No,1,4,1,
,No,3rd 制服衣装,,,東村芽依,1,No,,1,1,
,No,青春の馬MVカラフル衣装,,,東村芽依,1,No,,1,1,
,No,春私服コーディネート衣装,1,1,東村芽依,,No,3,5,1,
,Yes,「ひなくり2021」サンタ衣装,1,1,東村芽依,1,No,1,4,1,
,No,大正浪漫衣装,,1,東村芽依,,No,1,2,1,
,No,キツネ衣装,1,,東村芽依,1,No,1,3,1,
,No,ドレミソラシド歌番組衣装,,,東村芽依,1,Yes,,1,1,
,Yes,ひらがなくりすます2018衣装,1,1,東村芽依,2,No,1,5,1,
,No,ひなくり2019青サンタ衣装,1,,東村芽依,2,No,,3,1,
,No,4th MV衣装,,2,東村芽依,1,No,,3,1,
,No,「3回目のひな誕祭」オープニング衣装,,,東村芽依,1,No,,1,1,
,No,アザトカワイイMV衣装,,1,東村芽依,,No,1,2,1,
,No,おばけホテル衣装,,,東村芽依,,No,1,1,1,
,No,「期別ユニット曲」MVロケーション衣装,,,東村芽依,,No,1,1,1,
,Yes,2022年 ハロウィン衣装,2,2,東村芽依,1,No,1,6,1,
,No,2024年 浴衣,1,,東村芽依,1,No,1,3,1,
,No,「3回目のひな誕祭」ライブ衣装,,,東村芽依,,No,1,1,1,
,No,「W-KEYAKI FES.2021」ライブオープニング衣装,,,東村芽依,,No,1,1,1,
